CLAVE_ENTIDAD,ENTIDAD,CLAVE_MUNICIPIO,MUNICIPIO,CLUES,NOMBRE_CLUES,MES,ANIO,ADL02,ADL03,ADL05,ADL06,ADL08,ADL09,ADL11,ADL12,ADL14,ADL15,ADL17,ADL18,ADM02,ADM03,ADM05,ADM06,ADM08,ADM09,ADM11,ADM12,ADM14,ADM15,ADM17,ADM18,ADM19,ADM20,ADM21,ADM22,ADM23,AEC02,AEC03,AEC05,AEC06,AEC08,AEC09,AEC11,AEC12,AEC14,AEC15,AEC17,AEC18,AHA02,AHA03,AHA05,AHA06,AHA08,AHA09,AHA11,AHA12,AHA14,AHA15,AHA17,AHA18,AOB02,AOB03,AOB05,AOB06,AOB08,AOB09,AOB11,AOB12,AOB14,AOB15,AOB17,AOB18,FRS01,FRS02,FRS03,FRS04,HBA01,HBA02,HBA03,PDM02,PDM03,PMA01,PMA02,RUN01
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000034,HOSP. GRAL. RENACIMIENTO,1,2023,NULL,NULL,NULL,NULL,21,15,4,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,22,7,13,11,6,5,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,14,4,6,2,4,2,3,NULL,NULL,NULL,NULL,12,15,5,9,9,12,3,8,NULL,NULL,NULL,NULL,11,9,2,4,5,5,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000034,HOSP. GRAL. RENACIMIENTO,2,2023,NULL,NULL,NULL,NULL,4,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,1,2,3,3,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,7,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,4,6,NULL,1,3,3,NULL,NULL,NULL,NULL,NULL,NULL,1,5,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000034,HOSP. GRAL. RENACIMIENTO,3,2023,1,NULL,NULL,NULL,21,5,2,3,1,NULL,NULL,NULL,1,NULL,NULL,NULL,32,9,3,5,11,5,1,1,31,7,2,3,15,1,NULL,NULL,NULL,14,5,2,3,4,3,NULL,1,NULL,NULL,NULL,NULL,14,5,2,3,9,3,2,NULL,1,NULL,NULL,NULL,13,5,1,1,5,3,NULL,1,2,NULL,NULL,2,13,2,1,5,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000034,HOSP. GRAL. RENACIMIENTO,4,2023,NULL,NULL,NULL,NULL,27,21,5,7,1,1,NULL,NULL,NULL,NULL,NULL,NULL,50,27,10,16,16,9,4,4,30,17,5,11,13,NULL,NULL,NULL,NULL,19,19,4,5,8,4,1,1,NULL,NULL,NULL,NULL,18,19,5,8,13,9,2,4,NULL,NULL,NULL,NULL,16,11,3,3,7,5,NULL,2,8,1,3,4,28,3,8,10,1,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000034,HOSP. GRAL. RENACIMIENTO,5,2023,NULL,NULL,NULL,NULL,29,22,5,8,1,1,NULL,NULL,1,NULL,NULL,NULL,54,30,11,19,15,6,4,7,26,9,4,3,11,NULL,NULL,NULL,NULL,22,19,4,6,10,5,1,2,NULL,NULL,NULL,NULL,24,20,4,10,18,12,2,5,NULL,NULL,NULL,NULL,21,9,3,4,10,4,1,2,6,4,2,2,33,1,1,5,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000034,HOSP. GRAL. RENACIMIENTO,6,2023,NULL,NULL,1,NULL,29,22,6,8,1,NULL,NULL,NULL,NULL,NULL,1,NULL,51,31,13,20,14,7,3,7,14,12,3,5,10,NULL,NULL,1,NULL,22,19,5,6,9,4,NULL,2,NULL,NULL,NULL,NULL,22,19,4,11,15,12,2,8,NULL,NULL,1,NULL,21,11,4,4,11,6,1,2,6,4,3,4,36,6,2,11,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000034,HOSP. GRAL. RENACIMIENTO,7,2023,1,NULL,NULL,NULL,30,22,6,8,1,1,NULL,NULL,1,NULL,NULL,NULL,63,33,14,21,16,9,6,10,45,19,11,12,30,1,NULL,NULL,NULL,23,18,5,7,5,3,1,4,NULL,NULL,NULL,NULL,22,19,5,12,16,11,2,11,1,NULL,NULL,NULL,21,10,4,5,10,5,1,3,7,1,3,3,42,6,NULL,19,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000034,HOSP. GRAL. RENACIMIENTO,8,2023,NULL,NULL,NULL,NULL,34,24,7,7,1,1,NULL,NULL,NULL,NULL,NULL,NULL,67,34,15,19,24,11,5,13,38,20,7,12,31,NULL,NULL,NULL,NULL,29,19,6,6,8,4,1,3,NULL,NULL,NULL,NULL,26,20,6,11,19,10,3,9,NULL,NULL,NULL,NULL,26,10,4,4,12,6,2,2,5,1,NULL,2,22,3,NULL,11,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000034,HOSP. GRAL. RENACIMIENTO,9,2023,NULL,NULL,NULL,NULL,36,23,7,6,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,69,32,14,19,19,6,5,8,31,8,5,8,11,NULL,NULL,NULL,NULL,30,18,6,5,9,2,NULL,2,NULL,NULL,NULL,NULL,26,19,5,10,16,10,3,7,NULL,NULL,NULL,NULL,25,10,5,3,12,6,2,1,10,2,3,3,63,8,2,34,2,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000034,HOSP. GRAL. RENACIMIENTO,10,2023,NULL,NULL,NULL,NULL,36,19,7,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65,26,13,16,15,7,4,7,39,12,8,9,23,NULL,NULL,NULL,NULL,30,15,6,4,7,2,1,1,NULL,NULL,NULL,NULL,25,16,4,8,17,8,3,4,NULL,NULL,NULL,NULL,26,11,5,2,12,8,2,1,4,1,1,3,35,5,NULL,11,2,NULL,NULL,NULL
